estimator,column,verdict,mean_error,wins_vs_k0,wins_vs_k1,n_pairs,err_2022,err_2023,err_2024,k_full,k_raw_full,ci_lo_full,ci_hi_full,n_fit_full,c_fit_full,k_raw_min,k_raw_max,k_raw_spread,out_of_range,k_raw_ex_2022,k_raw_ex_2023,k_raw_ex_2024
fitted-k,hr_pa,pass,0.0001327583230583349,3,3,3,0.00013988232841642082,0.00012395596694804835,0.00013443667381053554,0.49439664472177763,0.49439664472177763,0.4029553228414181,0.5858379666021372,1241.0,-0.0010244376313661985,0.44662238003713556,0.5612605110213447,0.11463813098420911,False,0.4798134639318184,0.5612605110213447,0.44662238003713556
k=0,hr_pa,pass,0.00014810150109520424,3,3,3,0.0001632328678735696,0.00013118662426992543,0.0001498850111421177,0.0,,,,,,,,,,,,
k=1,hr_pa,pass,0.0001465763997145819,3,3,3,0.0001540183260865348,0.00014431995854421371,0.00014139091451299712,1.0,,,,,,,,,,,,
fitted-k,r_pa,pass,0.0005053628740048132,3,3,3,0.0004718801049915813,0.0005512045852135908,0.0004930039318092673,0.5308893856873483,0.5308893856873483,0.4317006093046051,0.6300781620700916,1241.0,-0.004628470952707633,0.5225178036961013,0.5611453658516283,0.038627562155526984,False,0.5285440653168978,0.5611453658516283,0.5225178036961013
k=0,r_pa,pass,0.0005815286159518875,3,3,3,0.000552708417629686,0.0006127047109161509,0.0005791727193098257,0.0,,,,,,,,,,,,
k=1,r_pa,pass,0.0005348331441649734,3,3,3,0.0005048381170526574,0.000585859792816673,0.00051380152262559,1.0,,,,,,,,,,,,
fitted-k,rbi_pa,pass,0.0007634367231773762,3,3,3,0.0007672641117043012,0.000777024350275925,0.0007460217075519023,0.5316293478146665,0.5316293478146665,0.4407947157528411,0.6224639798764919,1241.0,-0.005837477122277704,0.4977783350167333,0.6119507738955402,0.1141724388788069,False,0.4977783350167333,0.6119507738955402,0.49956290284452415
k=0,rbi_pa,pass,0.0008904444696524478,3,3,3,0.0009050945297152365,0.0008720876567500152,0.0008941512224920917,0.0,,,,,,,,,,,,
k=1,rbi_pa,pass,0.0008043331629721207,3,3,3,0.0008179542865022131,0.0008466661954282925,0.0007483790069858563,1.0,,,,,,,,,,,,
fitted-k,sb_pa,pass,0.0001674153790811822,3,2,3,0.00015385032806245293,0.00019570666791619793,0.00015268914126489576,0.6365171256448175,0.6365171256448175,0.47987237221388174,0.7931618790757533,1241.0,0.0017265182883069209,0.5013484090837925,0.7585987102280479,0.2572503011442554,False,0.657297435522416,0.5013484090837925,0.7585987102280479
k=0,sb_pa,pass,0.0001958466386365351,3,2,3,0.0001706271098391286,0.0002528106283439719,0.0001641021777265048,0.0,,,,,,,,,,,,
k=1,sb_pa,pass,0.00017015147878387215,3,2,3,0.00015948342166784957,0.0001818168546479556,0.00016915416003581124,1.0,,,,,,,,,,,,
fitted-k,h_ab,pass,0.0008159386159370071,3,3,3,0.0007925498834260928,0.0008811447748375621,0.0007741211895473664,0.42836689129727146,0.42836689129727146,0.33428430551865207,0.5224494770758908,1241.0,-0.0034625733968460847,0.39997757271742335,0.4758069693226005,0.07582939660517718,False,0.41552916326232936,0.4758069693226005,0.39997757271742335
k=0,h_ab,pass,0.0008779326059604611,3,3,3,0.0008730022297105853,0.0009061884460261602,0.0008546071421446375,0.0,,,,,,,,,,,,
k=1,h_ab,pass,0.0009139610925434244,3,3,3,0.0008759445865937966,0.0010119407112353011,0.0008539979798011757,1.0,,,,,,,,,,,,
fitted-k,ab_pa,pass,0.0004937575420563554,3,3,3,0.0004927682551767606,0.0004928282048763183,0.0004956761661159871,0.6865967898098806,0.6865967898098806,0.5880336126948246,0.7851599669249366,1241.0,-0.00026281026367661606,0.6607499946760221,0.7429130389791064,0.0821630443030843,False,0.6607499946760221,0.6662035482938958,0.7429130389791064
k=0,ab_pa,pass,0.0005958908380860298,3,3,3,0.0006164199877627818,0.0006153351581790921,0.0005559173683162156,0.0,,,,,,,,,,,,
k=1,ab_pa,pass,0.0005137273668159736,3,3,3,0.0005096545450396256,0.0005029724922337069,0.0005285550631745884,1.0,,,,,,,,,,,,
fitted-k,pa,fallback:k=1,36519.40679679876,3,1,3,36301.8505525055,36198.650554036365,37057.71928385441,0.6461223724660885,0.6461223724660885,0.5839375123698968,0.7083072325622802,1377.0,-83.14085708221718,0.6141659936317709,0.7024666035854732,0.08830060995370226,False,0.6237926189842758,0.6141659936317709,0.7024666035854732
k=0,pa,fallback:k=1,58984.74848153073,3,1,3,59403.76344086022,60019.29257641921,57531.18942731278,0.0,,,,,,,,,,,,
k=1,pa,fallback:k=1,34851.837346156106,3,1,3,33562.30107526882,32883.305676855896,38109.905286343615,1.0,,,,,,,,,,,,
